anucl;atom;AMBER;CHARMM;my_own;VDW R AMBER;VDW DEPTH AMBER;VDW R Charmm;VDW DEPTH Charmm;my_own
A;C2;0.5875;0.5;;1.908;0.086;1.9;-0.075;
A;C4;0.3053;0.43;;1.908;0.1094;1.9;-0.075;
A;C5;0.0515;0.28;;1.908;0.086;1.9;-0.075;
A;C6;0.7009;0.46;;1.908;0.086;1.9;-0.1;
A;C8;0.2006;0.34;;1.908;0.086;1.9;-0.075;
A;H2;0.0473;0.13;;1.359;0.015;1.1;-0.046;
A;H8;0.1553;0.12;;1.359;0.015;1.34;-0.028;
A;N1;-0.7615;-0.74;;1.824;0.17;1.85;-0.2;
A;N3;-0.6997;-0.75;;1.824;0.17;1.85;-0.2;
A;N6;-0.9019;-0.77;;1.824;0.17;1.85;-0.2;
A;N7;-0.6073;-0.71;;1.824;0.17;1.85;-0.2;
A;N9;-0.0251;-0.05;;1.824;0.17;1.85;-0.2;
A;H61;0.4115;0.38;;0.6;0.0157;0.2245;-0.046;
A;O1P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
A;OP1;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
A;O2P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
A;OP2;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
A;P;1.1662;1.5;;2.1;0.2;2.15;-0.585;
G;N1;-0.4787;-0.34;;1.824;0.17;1.85;-0.2;
G;H1;0.3424;0.26;;0.6;0.0157;0.2245;-0.046;
G;C2;0.7657;0.75;;1.908;0.086;1.9;-0.1;
G;N2;-0.9672;-0.68;;1.824;0.17;1.85;-0.2;
G;H21;0.4364;0.32;;0.6;0.0157;0.2245;-0.046;
G;H22;0.4364;0.35;;0.6;0.0157;0.2245;-0.046;
G;N3;-0.6323;-0.74;;1.824;0.17;1.85;-0.2;
G;C4;0.1222;0.26;;1.908;0.086;1.9;-0.075;
G;N9;0.0492;-0.02;;1.824;0.17;1.85;-0.2;
G;C8;0.1374;0.25;;1.908;0.086;1.9;-0.075;
G;H8;0.164;0.16;;1.359;0.015;1.1;-0.046;
G;N7;-0.5709;-0.6;;1.824;0.17;1.85;-0.2;
G;C5;0.1744;0;;1.908;0.086;1.9;-0.075;
G;C6;0.477;0.54;;1.908;0.086;1.9;-0.1;
G;O6;-0.5597;-0.51;;1.6612;0.21;1.7;-0.12;
G;O1P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
G;OP1;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
G;O2P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
G;OP2;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
